POCO,OPERADOR,ESTADO,BACIA,CAMPO,TERRA_MAR,CATEGORIA,SITUACAO,CONCLUSAO,TITULARIDADE
9-CRT-29D-RJS,Petrobras,RJ,Campos,CARATINGA,M,Especial,ABANDONADO PERMANENTEMENTE,5/30/02 0:00,Público
1-BRSA-142-RJS,Petrobras,RJ,Campos,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,4/29/02 0:00,Público
9-MLS-66-RJS,Petrobras,RJ,Campos,MARLIM SUL,M,Especial,ABANDONADO PERMANENTEMENTE,5/3/02 0:00,Público
9-ABL-6-RJS,Petrobras,RJ,Campos,ALBACORA LESTE,M,Especial,ABANDONADO PERMANENTEMENTE,5/15/02 0:00,Público
9-BR-50D-RJS,Petrobras,RJ,Campos,BARRACUDA,M,Especial,ABANDONADO PERMANENTEMENTE,5/11/02 0:00,Público
9-CRT-31D-RJS,Petrobras,RJ,Campos,CARATINGA,M,Especial,ABANDONADO PERMANENTEMENTE,5/5/02 0:00,Público
4-LS-17-ES,Petrobras,ES,Espírito Santo,LAGOA SURUACA,T,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,7/31/83 0:00,Público
7-FCN-14-ES,Petrobras,ES,Espírito Santo,FAZENDA CEDRO NORTE,T,Desenvolvimento,DEVOLVIDO,11/4/83 0:00,Público
7-LS-22-ES,Petrobras,ES,Espírito Santo,LAGOA SURUACA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,1/17/84 0:00,Público
4-MA-9-ES,Petrobras,ES,Espírito Santo,MARIRICU NORTE,T,Pioneiro Adjacente,DEVOLVIDO,1/23/84 0:00,Público
1-LPB-1-ES,Petrobras,ES,Espírito Santo,LAGOA PIABANHA,T,Pioneiro,DEVOLVIDO,3/5/84 0:00,Público
7-LPN-12-ES,Petrobras,ES,Espírito Santo,LAGOA PARDA NORTE,T,Desenvolvimento,DEVOLVIDO,3/17/84 0:00,Público
7-LP-65D-ES,Petrobras,ES,Espírito Santo,LAGOA PARDA,T,Desenvolvimento,DEVOLVIDO,4/27/84 0:00,Público
7-FCN-15-ES,Petrobras,ES,Espírito Santo,FAZENDA CEDRO NORTE,T,Desenvolvimento,DEVOLVIDO,7/8/84 0:00,Público
7-FCN-16-ES,Petrobras,ES,Espírito Santo,FAZENDA CEDRO NORTE,T,Desenvolvimento,DEVOLVIDO,7/19/84 0:00,Público
7-LP-66-ES,Petrobras,ES,Espírito Santo,LAGOA PARDA,T,Desenvolvimento,DEVOLVIDO,9/1/84 0:00,Público
7-LP-68-ES,Petrobras,ES,Espírito Santo,LAGOA PARDA,T,Desenvolvimento,DEVOLVIDO,10/7/84 0:00,Público
7-RI-63-ES,Petrobras,ES,Espírito Santo,RIO ITAÚNAS,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,10/20/84 0:00,Público
4-GU-3-ES,Petrobras,ES,Espírito Santo,GURIRI,T,Pioneiro Adjacente,DEVOLVIDO,11/5/84 0:00,Público
7-MA-10-ES,Petrobras,ES,Espírito Santo,MARIRICU,T,Desenvolvimento,DEVOLVIDO,11/5/84 0:00,Público
